type,size,cpu_time_ms,gpu_time_ms,speedup
int,100,0.963367,0.451467,2.13386
int,200,8.04463,0.475061,16.9339
int,400,82.7066,2.72034,30.403
int,800,1178.67,24.0129,49.0851
int,1000,2225.06,98.505,22.5883
int,1600,22776.3,238.049,95.6788
int,2000,51976.5,506.601,102.598
float,100,2.20603,0.09392,23.4884
float,200,14.5151,0.435456,33.333
float,400,132.286,20.1528,6.56416
float,800,1205.12,144.16,8.3596
float,1000,2512.25,198.443,12.6599
float,1600,20176.5,312.465,64.5719
float,2000,57464.1,509.615,112.76
double,100,2.29133,0.263701,8.68912
double,200,16.6309,0.840117,19.796
double,400,140.549,42.5688,3.30169
double,800,1564.56,192.104,8.14433
double,1000,3137.84,228.036,13.7603
double,1600,23716.1,429.279,55.2463
double,2000,61632.2,661.165,93.2175
